r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,indice_glicemico,carga_glicemica,azucar,sodio
3,Bollos para hamburguesa,0.3,pieza,25,25,65,2.4,1.1,12.5,0.6,0,25.7,0.7,,,1.8,108.2
3,Cebada,20,g,20,20,69,2.2,0.5,15.3,2.1,4.6,5.4,0.4,,,0.1,1.3
3,Cereal Avena Flakes,0.75,taza,19,19,68,1.9,1.1,12.6,1.9,0,0,0,,,2.8,53.1
3,"Cereal Chewy para niños varios
sabores",0.5,pieza,14,14,52,0.9,0.7,10.5,1.2,0,0,0,,,3.3,46.7
3,Cereal con almeras y pasas,0.3,taza,19,19,70,1.5,0.7,16.5,1.6,33.3,9.3,2.1,,,4,100
3,Cereal de arroz,0.5,taza,17,17,67,1.4,0.5,14.1,1.1,2.5,9.1,7.9,,,0.2,2
3,Cereal de avena integral. seco,0.3,taza,19,19,71,2.9,1,13.8,2.2,34.7,10.3,5.4,,,3.1,68.3
3,"Elote amarillo desgranado
crudo",0.5,taza,83,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,,,2.6,4.2
3,Elote amarillo enlatado,0.5,taza,82,82,66,2.1,0.8,15.2,1.6,40,4,0.7,,,2.3,175
3,elote blanco desgranado,0.5,taza,83,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,,,2.6,4.2
3,Elote crudo,1.5,pieza,215,82,70,2.6,1,15.5,2.2,37.5,1.6,0.4,,,2.6,12.2
3,Elote desgranado,0.5,taza,83,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,,,2.6,4.2
3,Espaguetti integral cocido,0.3,taza,47,47,58,2.5,0.3,12.4,2.1,2.3,7,0.5,,,0.4,1.4
3,Fetuccini crudo,20,g,20,20,70,2.7,0.5,14.1,0.6,3.9,4.3,0.6,,,0.6,3.2
3,Fideo crudo,20,g,20,20,72,2.7,0.5,14.5,0.7,4.2,4.2,0.6,,,0.7,1.1
3,Fruitcake,0.5,rebanada,20,20,65,0.6,1.8,12.3,0.7,0.5,6.5,0.4,,,8.6,54
3,Fusili cocido,0.3,taza,46,46,57,2.5,0.2,12.3,2.1,2.3,6.9,0.5,,,0.4,1.4
3,Galleta de animalitos,6,pieza,15,15,68,1.1,2.1,11.3,0.2,2.1,6.4,0.4,,,3.4,59.5
3,Galleta de manzana,1,pieza,15,15,50,0.5,0,12,0.5,0,0,0,,,7,30
3,Galleta maría,5,pieza,19,19,69,1.3,1.3,13.8,0.1,6.3,0,0.5,,,11.3,110.6
3,Galleta salada integral,4,pieza,16,16,70,1.6,1.9,11.2,0.4,0,4.3,0.1,,,0.6,108.8
3,Galleta de avena pasas,1.5,galletas,15,15,61,1.3,2,9.5,1.3,0,0,0,,,4.7,57
3,Galletas Marías,5,galleta,19,19,69,1.3,1.3,13.8,0.1,6.3,0,0.5,,,11.3,110.6
